ano,mes,sigla_uf,tipo_consumo,consumo,data
2015,4,PI,Cativo,246759,2015-04-01
2015,4,PI,Industrial,21310,2015-04-01
2015,4,PI,Comercial,54699,2015-04-01
2015,4,RN,Residencial,168361,2015-04-01
2015,4,RN,Outros,88415,2015-04-01
2015,4,RN,Cativo,383637,2015-04-01
2015,4,RN,Industrial,106597,2015-04-01
2015,4,RN,Total,454406,2015-04-01
2015,4,RN,Comercial,91033,2015-04-01
2015,4,SE,Total,342466,2015-04-01
2015,4,SE,Residencial,98119,2015-04-01
2015,4,SE,Cativo,243328,2015-04-01
2015,4,SE,Industrial,131713,2015-04-01
2015,4,SE,Outros,59769,2015-04-01
2015,4,SE,Comercial,52865,2015-04-01
2015,5,AL,Total,401446,2015-05-01
2015,5,AL,Comercial,64638,2015-05-01
2015,5,AL,Cativo,385798,2015-05-01
2015,5,AL,Outros,62623,2015-05-01
2015,5,AL,Industrial,161551,2015-05-01
2015,5,AL,Residencial,112634,2015-05-01
2015,5,BA,Industrial,866490,2015-05-01
2015,5,BA,Cativo,1826435,2015-05-01
2015,5,BA,Residencial,564525,2015-05-01
2015,5,BA,Total,2069074,2015-05-01
2015,5,BA,Comercial,300189,2015-05-01
2015,5,BA,Outros,337870,2015-05-01
2015,5,CE,Cativo,837632,2015-05-01
2015,5,CE,Total,944587,2015-05-01
2015,5,CE,Comercial,194434,2015-05-01
2015,5,CE,Residencial,329431,2015-05-01
2015,5,CE,Outros,214490,2015-05-01
2015,5,CE,Industrial,206232,2015-05-01
2015,5,MA,Comercial,100582,2015-05-01
2015,5,MA,Industrial,81385,2015-05-01
2015,5,MA,Total,519306,2015-05-01
2015,5,MA,Outros,103260,2015-05-01
2015,5,MA,Cativo,470511,2015-05-01
2015,5,MA,Residencial,234079,2015-05-01
2015,5,PB,Residencial,150361,2015-05-01
2015,5,PB,Outros,87510,2015-05-01
2015,5,PB,Total,430672,2015-05-01
2015,5,PB,Comercial,79062,2015-05-01
2015,5,PB,Cativo,372511,2015-05-01
2015,5,PB,Industrial,113739,2015-05-01
2015,5,PE,Comercial,254959,2015-05-01
2015,5,PE,Total,1234282,2015-05-01
2015,5,PE,Outros,210477,2015-05-01
2015,5,PE,Cativo,1034030,2015-05-01
2015,5,PE,Residencial,436031,2015-05-01
2015,5,PE,Industrial,332815,2015-05-01
2015,5,PI,Residencial,123368,2015-05-01
2015,5,PI,Total,261748,2015-05-01
2015,5,PI,Comercial,58352,2015-05-01
2015,5,PI,Cativo,255961,2015-05-01
2015,5,PI,Industrial,22952,2015-05-01
2015,5,PI,Outros,57076,2015-05-01
2015,5,RN,Total,470344,2015-05-01
2015,5,RN,Cativo,401418,2015-05-01
2015,5,RN,Industrial,107274,2015-05-01
2015,5,RN,Outros,93154,2015-05-01
2015,5,RN,Residencial,176191,2015-05-01
2015,5,RN,Comercial,93725,2015-05-01
2015,5,SE,Cativo,230137,2015-05-01
2015,5,SE,Comercial,50343,2015-05-01
2015,5,SE,Outros,55858,2015-05-01
2015,5,SE,Total,322296,2015-05-01
2015,5,SE,Residencial,91542,2015-05-01
2015,5,SE,Industrial,124553,2015-05-01
2015,6,AL,Comercial,61296,2015-06-01
2015,6,AL,Outros,54820,2015-06-01
2015,6,AL,Cativo,386071,2015-06-01
2015,6,AL,Industrial,173280,2015-06-01
2015,6,AL,Residencial,111654,2015-06-01
2015,6,AL,Total,401050,2015-06-01
2015,6,BA,Outros,345511,2015-06-01
2015,6,BA,Residencial,511455,2015-06-01
2015,6,BA,Cativo,1746281,2015-06-01
2015,6,BA,Comercial,276690,2015-06-01
2015,6,BA,Total,1955895,2015-06-01
2015,6,BA,Industrial,822239,2015-06-01
2015,6,CE,Outros,220923,2015-06-01
2015,6,CE,Total,942599,2015-06-01
2015,6,CE,Comercial,188806,2015-06-01
2015,6,CE,Residencial,332296,2015-06-01
2015,6,CE,Industrial,200574,2015-06-01
2015,6,CE,Cativo,841100,2015-06-01
2015,6,MA,Total,532190,2015-06-01
2015,6,MA,Cativo,479722,2015-06-01
2015,6,MA,Comercial,102307,2015-06-01
2015,6,MA,Industrial,87205,2015-06-01
2015,6,MA,Outros,104971,2015-06-01
2015,6,MA,Residencial,237707,2015-06-01
2015,6,PB,Outros,81248,2015-06-01
2015,6,PB,Cativo,354923,2015-06-01
2015,6,PB,Industrial,111120,2015-06-01
2015,6,PB,Comercial,75400,2015-06-01
2015,6,PB,Residencial,147245,2015-06-01
2015,6,PB,Total,415013,2015-06-01
2015,6,PE,Industrial,322173,2015-06-01
2015,6,PE,Comercial,235790,2015-06-01
2015,6,PE,Outros,200899,2015-06-01
2015,6,PE,Total,1156175,2015-06-01
2015,6,PE,Cativo,961294,2015-06-01
2015,6,PE,Residencial,397312,2015-06-01
2015,6,PI,Comercial,56221,2015-06-01
2015,6,PI,Outros,61010,2015-06-01
2015,6,PI,Total,267085,2015-06-01
2015,6,PI,Cativo,261906,2015-06-01
2015,6,PI,Residencial,126916,2015-06-01
2015,6,PI,Industrial,22938,2015-06-01
2015,6,RN,Outros,91318,2015-06-01
2015,6,RN,Total,460108,2015-06-01
2015,6,RN,Residencial,170036,2015-06-01
2015,6,RN,Comercial,91885,2015-06-01
2015,6,RN,Cativo,390310,2015-06-01
2015,6,RN,Industrial,106869,2015-06-01
2015,6,SE,Comercial,46790,2015-06-01
2015,6,SE,Residencial,86199,2015-06-01
2015,6,SE,Industrial,122812,2015-06-01
2015,6,SE,Total,305600,2015-06-01
2015,6,SE,Outros,49799,2015-06-01
2015,6,SE,Cativo,213109,2015-06-01
2015,7,AL,Cativo,358149,2015-07-01
2015,7,AL,Total,389205,2015-07-01
