ano,mes,regiao,tipo_consumo,consumo,data
2015,7,Sul,Total,6446540,2015-07-01
2015,8,Centro-Oeste,Cativo,2437051,2015-08-01
2015,8,Centro-Oeste,Comercial,586995,2015-08-01
2015,8,Centro-Oeste,Industrial,745062,2015-08-01
2015,8,Centro-Oeste,Outros,720919,2015-08-01
2015,8,Centro-Oeste,Residencial,846311,2015-08-01
2015,8,Centro-Oeste,Total,2899287,2015-08-01
2015,8,Nordeste,Cativo,5377908,2015-08-01
2015,8,Nordeste,Comercial,1117185,2015-08-01
2015,8,Nordeste,Industrial,1992131,2015-08-01
2015,8,Nordeste,Outros,1224052,2015-08-01
2015,8,Nordeste,Residencial,2000513,2015-08-01
2015,8,Nordeste,Total,6333882,2015-08-01
2015,8,Norte,Cativo,1930879,2015-08-01
2015,8,Norte,Comercial,420605,2015-08-01
2015,8,Norte,Industrial,1284346,2015-08-01
2015,8,Norte,Outros,423078,2015-08-01
2015,8,Norte,Residencial,763948,2015-08-01
2015,8,Norte,Total,2891977,2015-08-01
2015,8,Sudeste,Cativo,13011075,2015-08-01
2015,8,Sudeste,Comercial,3772081,2015-08-01
2015,8,Sudeste,Industrial,7615559,2015-08-01
2015,8,Sudeste,Outros,2616460,2015-08-01
2015,8,Sudeste,Residencial,5080894,2015-08-01
2015,8,Sudeste,Total,19084994,2015-08-01
2015,8,Sul,Cativo,5297203,2015-08-01
2015,8,Sul,Comercial,1180559,2015-08-01
2015,8,Sul,Industrial,2648851,2015-08-01
2015,8,Sul,Outros,1197884,2015-08-01
2015,8,Sul,Residencial,1621249,2015-08-01
2015,8,Sul,Total,6648543,2015-08-01
2015,9,Centro-Oeste,Cativo,2593294,2015-09-01
2015,9,Centro-Oeste,Comercial,623827,2015-09-01
2015,9,Centro-Oeste,Industrial,763874,2015-09-01
2015,9,Centro-Oeste,Outros,749462,2015-09-01
2015,9,Centro-Oeste,Residencial,941162,2015-09-01
2015,9,Centro-Oeste,Total,3078325,2015-09-01
2015,9,Nordeste,Cativo,5507312,2015-09-01
2015,9,Nordeste,Comercial,1149289,2015-09-01
2015,9,Nordeste,Industrial,1863704,2015-09-01
2015,9,Nordeste,Outros,1285911,2015-09-01
2015,9,Nordeste,Residencial,2086557,2015-09-01
2015,9,Nordeste,Total,6385461,2015-09-01
2015,9,Norte,Cativo,2022781,2015-09-01
2015,9,Norte,Comercial,446105,2015-09-01
2015,9,Norte,Industrial,1268086,2015-09-01
2015,9,Norte,Outros,429737,2015-09-01
2015,9,Norte,Residencial,820516,2015-09-01
2015,9,Norte,Total,2964444,2015-09-01
2015,9,Sudeste,Cativo,12898464,2015-09-01
2015,9,Sudeste,Comercial,3780478,2015-09-01
2015,9,Sudeste,Industrial,7514242,2015-09-01
2015,9,Sudeste,Outros,2593951,2015-09-01
2015,9,Sudeste,Residencial,5030736,2015-09-01
2015,9,Sudeste,Total,18919407,2015-09-01
2015,9,Sul,Cativo,5171804,2015-09-01
2015,9,Sul,Comercial,1161470,2015-09-01
2015,9,Sul,Industrial,2592008,2015-09-01
2015,9,Sul,Outros,1182999,2015-09-01
2015,9,Sul,Residencial,1557532,2015-09-01
2015,9,Sul,Total,6494009,2015-09-01
2015,10,Centro-Oeste,Cativo,2692033,2015-10-01
2015,10,Centro-Oeste,Comercial,654211,2015-10-01
2015,10,Centro-Oeste,Industrial,805939,2015-10-01
2015,10,Centro-Oeste,Outros,747643,2015-10-01
2015,10,Centro-Oeste,Residencial,1008380,2015-10-01
2015,10,Centro-Oeste,Total,3216173,2015-10-01
2015,10,Nordeste,Cativo,5724887,2015-10-01
2015,10,Nordeste,Comercial,1182344,2015-10-01
2015,10,Nordeste,Industrial,1939351,2015-10-01
2015,10,Nordeste,Outros,1350182,2015-10-01
2015,10,Nordeste,Residencial,2162718,2015-10-01
2015,10,Nordeste,Total,6634595,2015-10-01
2015,10,Norte,Cativo,2107523,2015-10-01
2015,10,Norte,Comercial,460262,2015-10-01
2015,10,Norte,Industrial,1280572,2015-10-01
2015,10,Norte,Outros,424525,2015-10-01
2015,10,Norte,Residencial,884653,2015-10-01
2015,10,Norte,Total,3050012,2015-10-01
2015,10,Sudeste,Cativo,13814486,2015-10-01
2015,10,Sudeste,Comercial,4136559,2015-10-01
2015,10,Sudeste,Industrial,7532545,2015-10-01
2015,10,Sudeste,Outros,2679713,2015-10-01
2015,10,Sudeste,Residencial,5465728,2015-10-01
2015,10,Sudeste,Total,19814545,2015-10-01
2015,10,Sul,Cativo,5262594,2015-10-01
2015,10,Sul,Comercial,1197395,2015-10-01
2015,10,Sul,Industrial,2558755,2015-10-01
2015,10,Sul,Outros,1193314,2015-10-01
2015,10,Sul,Residencial,1611874,2015-10-01
2015,10,Sul,Total,6561338,2015-10-01
2015,11,Centro-Oeste,Cativo,2642193,2015-11-01
2015,11,Centro-Oeste,Comercial,658369,2015-11-01
2015,11,Centro-Oeste,Industrial,757946,2015-11-01
2015,11,Centro-Oeste,Outros,726462,2015-11-01
2015,11,Centro-Oeste,Residencial,995736,2015-11-01
2015,11,Centro-Oeste,Total,3138513,2015-11-01
2015,11,Nordeste,Cativo,5795906,2015-11-01
2015,11,Nordeste,Comercial,1210805,2015-11-01
2015,11,Nordeste,Industrial,1885783,2015-11-01
2015,11,Nordeste,Outros,1364982,2015-11-01
2015,11,Nordeste,Residencial,2193135,2015-11-01
2015,11,Nordeste,Total,6654705,2015-11-01
2015,11,Norte,Cativo,2034384,2015-11-01
2015,11,Norte,Comercial,447321,2015-11-01
2015,11,Norte,Industrial,1230461,2015-11-01
2015,11,Norte,Outros,408190,2015-11-01
2015,11,Norte,Residencial,872136,2015-11-01
2015,11,Norte,Total,2958108,2015-11-01
2015,11,Sudeste,Cativo,13953374,2015-11-01
2015,11,Sudeste,Comercial,4262362,2015-11-01
2015,11,Sudeste,Industrial,7404270,2015-11-01
2015,11,Sudeste,Outros,2712357,2015-11-01
2015,11,Sudeste,Residencial,5457842,2015-11-01
2015,11,Sudeste,Total,19836831,2015-11-01
2015,11,Sul,Cativo,5281174,2015-11-01
2015,11,Sul,Comercial,1211843,2015-11-01
2015,11,Sul,Industrial,2595097,2015-11-01
2015,11,Sul,Outros,1216862,2015-11-01
2015,11,Sul,Residencial,1612892,2015-11-01
2015,11,Sul,Total,6636694,2015-11-01
2015,12,Centro-Oeste,Cativo,2481290,2015-12-01
2015,12,Centro-Oeste,Comercial,633402,2015-12-01
2015,12,Centro-Oeste,Industrial,721602,2015-12-01
2015,12,Centro-Oeste,Outros,666839,2015-12-01
2015,12,Centro-Oeste,Residencial,928685,2015-12-01
2015,12,Centro-Oeste,Total,2950528,2015-12-01
2015,12,Nordeste,Cativo,5976259,2015-12-01
2015,12,Nordeste,Comercial,1267860,2015-12-01
2015,12,Nordeste,Industrial,1830673,2015-12-01
2015,12,Nordeste,Outros,1377047,2015-12-01
2015,12,Nordeste,Residencial,2317043,2015-12-01
2015,12,Nordeste,Total,6792623,2015-12-01
2015,12,Norte,Cativo,1997783,2015-12-01
2015,12,Norte,Comercial,445125,2015-12-01
2015,12,Norte,Industrial,1251870,2015-12-01
2015,12,Norte,Outros,414344,2015-12-01
2015,12,Norte,Residencial,851295,2015-12-01
2015,12,Norte,Total,2962634,2015-12-01
2015,12,Sudeste,Cativo,13700072,2015-12-01
2015,12,Sudeste,Comercial,4258472,2015-12-01
2015,12,Sudeste,Industrial,7100173,2015-12-01
2015,12,Sudeste,Outros,2617565,2015-12-01
2015,12,Sudeste,Residencial,5383171,2015-12-01
2015,12,Sudeste,Total,19359381,2015-12-01
2015,12,Sul,Cativo,5332526,2015-12-01
2015,12,Sul,Comercial,1247150,2015-12-01
2015,12,Sul,Industrial,2490414,2015-12-01
2015,12,Sul,Outros,1263886,2015-12-01
2015,12,Sul,Residencial,1603341,2015-12-01
2015,12,Sul,Total,6604791,2015-12-01
2016,1,Centro-Oeste,Cativo,2389402,2016-01-01
2016,1,Centro-Oeste,Comercial,595818,2016-01-01
2016,1,Centro-Oeste,Industrial,704567,2016-01-01
2016,1,Centro-Oeste,Outros,580185,2016-01-01
2016,1,Centro-Oeste,Residencial,958648,2016-01-01
2016,1,Centro-Oeste,Total,2839218,2016-01-01
2016,1,Nordeste,Cativo,5708812,2016-01-01
2016,1,Nordeste,Comercial,1191688,2016-01-01
2016,1,Nordeste,Industrial,1808016,2016-01-01
2016,1,Nordeste,Outros,1239379,2016-01-01
2016,1,Nordeste,Residencial,2295490,2016-01-01
2016,1,Nordeste,Total,6534573,2016-01-01
2016,1,Norte,Cativo,1789379,2016-01-01
2016,1,Norte,Comercial,392658,2016-01-01
2016,1,Norte,Industrial,1215996,2016-01-01
2016,1,Norte,Outros,366220,2016-01-01
2016,1,Norte,Residencial,759843,2016-01-01
2016,1,Norte,Total,2734717,2016-01-01
2016,1,Sudeste,Cativo,13662638,2016-01-01
2016,1,Sudeste,Comercial,4227956,2016-01-01
2016,1,Sudeste,Industrial,6678699,2016-01-01
2016,1,Sudeste,Outros,2542848,2016-01-01
2016,1,Sudeste,Residencial,5864497,2016-01-01
2016,1,Sudeste,Total,19314000,2016-01-01
2016,1,Sul,Cativo,5701464,2016-01-01
2016,1,Sul,Comercial,1352653,2016-01-01
2016,1,Sul,Industrial,2213222,2016-01-01
2016,1,Sul,Outros,1460897,2016-01-01
2016,1,Sul,Residencial,1951618,2016-01-01
2016,1,Sul,Total,6978390,2016-01-01
2016,2,Centro-Oeste,Cativo,2376512,2016-02-01
2016,2,Centro-Oeste,Comercial,604299,2016-02-01
2016,2,Centro-Oeste,Industrial,740348,2016-02-01
2016,2,Centro-Oeste,Outros,577986,2016-02-01
2016,2,Centro-Oeste,Residencial,916030,2016-02-01
2016,2,Centro-Oeste,Total,2838663,2016-02-01
2016,2,Nordeste,Cativo,5457406,2016-02-01
2016,2,Nordeste,Comercial,1158481,2016-02-01
2016,2,Nordeste,Industrial,1789841,2016-02-01
2016,2,Nordeste,Outros,1138168,2016-02-01
2016,2,Nordeste,Residencial,2191346,2016-02-01
2016,2,Nordeste,Total,6277836,2016-02-01
2016,2,Norte,Cativo,1780170,2016-02-01
2016,2,Norte,Comercial,389776,2016-02-01
2016,2,Norte,Industrial,1198858,2016-02-01
2016,2,Norte,Outros,379428,2016-02-01
2016,2,Norte,Residencial,740736,2016-02-01
2016,2,Norte,Total,2708798,2016-02-01
2016,2,Sudeste,Cativo,13623653,2016-02-01
2016,2,Sudeste,Comercial,4167271,2016-02-01
2016,2,Sudeste,Industrial,7198404,2016-02-01
2016,2,Sudeste,Outros,2514006,2016-02-01
2016,2,Sudeste,Residencial,5615379,2016-02-01
2016,2,Sudeste,Total,19495060,2016-02-01
2016,2,Sul,Cativo,6017335,2016-02-01
2016,2,Sul,Comercial,1394509,2016-02-01
2016,2,Sul,Industrial,2568401,2016-02-01
2016,2,Sul,Outros,1555612,2016-02-01
2016,2,Sul,Residencial,1888454,2016-02-01
2016,2,Sul,Total,7406976,2016-02-01
2016,3,Centro-Oeste,Cativo,2450368,2016-03-01
2016,3,Centro-Oeste,Comercial,629526,2016-03-01
2016,3,Centro-Oeste,Industrial,753411,2016-03-01
2016,3,Centro-Oeste,Outros,600349,2016-03-01
2016,3,Centro-Oeste,Residencial,934360,2016-03-01
2016,3,Centro-Oeste,Total,2917646,2016-03-01
2016,3,Nordeste,Cativo,5876811,2016-03-01
2016,3,Nordeste,Comercial,1249510,2016-03-01
2016,3,Nordeste,Industrial,1937272,2016-03-01
2016,3,Nordeste,Outros,1290296,2016-03-01
2016,3,Nordeste,Residencial,2315129,2016-03-01
2016,3,Nordeste,Total,6792208,2016-03-01
2016,3,Norte,Cativo,1822013,2016-03-01
2016,3,Norte,Comercial,405899,2016-03-01
2016,3,Norte,Industrial,1304121,2016-03-01
2016,3,Norte,Outros,402504,2016-03-01
2016,3,Norte,Residencial,751194,2016-03-01
2016,3,Norte,Total,2863718,2016-03-01
2016,3,Sudeste,Cativo,13634708,2016-03-01
2016,3,Sudeste,Comercial,4155268,2016-03-01
2016,3,Sudeste,Industrial,7306777,2016-03-01
2016,3,Sudeste,Outros,2616501,2016-03-01
2016,3,Sudeste,Residencial,5532807,2016-03-01
2016,3,Sudeste,Total,19611353,2016-03-01
2016,3,Sul,Cativo,5778954,2016-03-01
2016,3,Sul,Comercial,1357823,2016-03-01
2016,3,Sul,Industrial,2626701,2016-03-01
2016,3,Sul,Outros,1492710,2016-03-01
2016,3,Sul,Residencial,1782753,2016-03-01
2016,3,Sul,Total,7259987,2016-03-01
2016,4,Centro-Oeste,Cativo,2621509,2016-04-01
2016,4,Centro-Oeste,Comercial,655886,2016-04-01
2016,4,Centro-Oeste,Industrial,765269,2016-04-01
2016,4,Centro-Oeste,Outros,663831,2016-04-01
2016,4,Centro-Oeste,Residencial,1001892,2016-04-01
2016,4,Centro-Oeste,Total,3086878,2016-04-01
2016,4,Nordeste,Cativo,5718819,2016-04-01
2016,4,Nordeste,Comercial,1217130,2016-04-01
2016,4,Nordeste,Industrial,1802337,2016-04-01
2016,4,Nordeste,Outros,1281541,2016-04-01
2016,4,Nordeste,Residencial,2307869,2016-04-01
2016,4,Nordeste,Total,6608878,2016-04-01
2016,4,Norte,Cativo,1778393,2016-04-01
2016,4,Norte,Comercial,392009,2016-04-01
2016,4,Norte,Industrial,1196602,2016-04-01
2016,4,Norte,Outros,390719,2016-04-01
2016,4,Norte,Residencial,747941,2016-04-01
2016,4,Norte,Total,2727271,2016-04-01
2016,4,Sudeste,Cativo,14285981,2016-04-01
2016,4,Sudeste,Comercial,4398022,2016-04-01
2016,4,Sudeste,Industrial,7507463,2016-04-01
2016,4,Sudeste,Outros,2707369,2016-04-01
2016,4,Sudeste,Residencial,5907371,2016-04-01
2016,4,Sudeste,Total,20520225,2016-04-01
2016,4,Sul,Cativo,5788242,2016-04-01
2016,4,Sul,Comercial,1383419,2016-04-01
2016,4,Sul,Industrial,2704554,2016-04-01
2016,4,Sul,Outros,1420792,2016-04-01
2016,4,Sul,Residencial,1817400,2016-04-01
